User,Token,avgValue,noofDays
0x53829d517D8fA7D59d3D40E20251e519C079985F,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,100.000000,121
0x1314CA004878365dcB2AA9a1Cf1F9311B81dEF2B,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,399997.119403,6
0xf48eaD8a56Bf3E380E7E73FD59Ef794999658bA8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,12005.323343,12
0x397BbFfc7F70319E244b4A1B951F7eed42Cb390C,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,10195.210287,6
0x40B42deFA549221aB38c1ba6C611AC92c0963116,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,11701.852862,6
0x33857a01975639488213511b760a14cD780d228B,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,1814076.059796,2
0xb0E2061B34171edc2B3C34E86B0b1F05ec7eeFFC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,235000.000000,120
0x872D24a78F9343D95fFbD602D3bEe5EC9773E9Ff,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,499.789602,39
0xc7e6DA4D1373BABa0033A9799470b3B4900f338C,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,2530.221887,3
0x239A290e002D3E6057Ba78F28E7b9567C6b737b4,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,46558.126977,6
0x8e2F7D5aAAE5ABbD5052aCb74019b9b11cb74349,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,9358.375290,1
0x578ea3A59b41cA1b92CCdcF65bF6AE40727C4F34,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,1998.918073,3
0x3bbEBf87B8dB82F59873AcD450Bca31CaF61DE12,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,14049.144672,74
0xdb5E4ab747C81BF525c006BA92527ADf84a171f4,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,499.463056,96
0xacf09Af6853Ba4CBbB838e6032953Bd7037b4539,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,4000.000000,6
0x43faf3F8bef053d901C572EDC32F055c20EFb764,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,30000.000000,120
0xab3e6F096372D1101E938ee9e0B3dcfC7Dc45DaC,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,2856.964250,54
0x42ccF4f456D7c7fEBF274242CACcD74AAa0a53d7,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,1500.000000,18
0x9b2ca0B27415ab8ffA9d7FF2065C9bdE53462f46,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,1044.276347,5
0xABcAe081dc0D143AeFe3fEF2EFB70Dc756b64007,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,3000.000000,5
0xB932e9Dd1b48cE5895A3511d8BE0169Fb0E41323,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,60033.698195,2
0x63026d769f7D45FCbff3862e4A7C47c4dEfb4e29,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,36.789043,48
0x02Db8B065Feea8e2C9fE40b2CBCc0efe794b3C18,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,172740.218876,5
0x4a2B71D123584cba533D93017CA8379Ff2006ad9,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,959.217263,11
0x6F90ced525825feD1C186849AC570d48Cb76BA77,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,27262.976244,81
0xC960338B529e0353F570f62093Fd362B8FB55f0B,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,1486.080368,50
0x36C9fdBF2EaFdb64F0082bE0E824Dc4605603E71,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,14678.158878,1
